Tournament 1
NastyPlayer: 561.06696 points.
RandomPlayer: 549.55615 points.
ReverseT4TPlayer: 494.49744 points.

Tournament 23
FirmButFairPlayer: 751.08923 points.
GradualPlayer: 746.73975 points.
TolerantPlayer: 745.4989 points.
T4TPlayer: 743.66565 points.
SinghAishwaryaPlayer: 739.7662 points.
GrimTriggerPlayer: 733.9215 points.
CombinedPlayer: 732.2118 points.
ImprovedPlayer: 728.5336 points.
TitForTatPlayer2: 721.5539 points.
NicePlayer: 685.2549 points.
SoftGrudgerPlayer: 660.65765 points.
FreakyPlayer: 614.9123 points.
HardMajorityPlayer: 577.3476 points.
NastyPlayer: 564.9635 points.
RandomPlayer: 546.6616 points.
ReverseT4TPlayer: 495.96725 points.

Tournament 24
GrimTriggerPlayer: 761.3685 points.
TolerantPlayer: 750.2673 points.
CombinedPlayer: 748.5681 points.
FirmButFairPlayer: 741.8098 points.
SinghAishwaryaPlayer: 741.40826 points.
GradualPlayer: 733.8645 points.
TitForTatPlayer2: 732.49084 points.
T4TPlayer: 729.55914 points.
ImprovedPlayer: 713.8581 points.
SoftGrudgerPlayer: 670.7257 points.
NicePlayer: 664.1903 points.
FreakyPlayer: 574.02 points.
NastyPlayer: 566.81213 points.
HardMajorityPlayer: 563.2055 points.
RandomPlayer: 540.15265 points.
ReverseT4TPlayer: 505.02847 points.

Tournament 25
SinghAishwaryaPlayer: 759.5889 points.
GrimTriggerPlayer: 754.4811 points.
TolerantPlayer: 751.8372 points.
CombinedPlayer: 748.47974 points.
FirmButFairPlayer: 742.1135 points.
GradualPlayer: 739.1123 points.
T4TPlayer: 726.2478 points.
TitForTatPlayer2: 725.12195 points.
ImprovedPlayer: 712.53485 points.
NicePlayer: 676.12317 points.
SoftGrudgerPlayer: 669.1439 points.
FreakyPlayer: 597.6941 points.
NastyPlayer: 583.37915 points.
HardMajorityPlayer: 564.5265 points.
RandomPlayer: 550.7462 points.
ReverseT4TPlayer: 507.58948 points.
