Tournament 1
ReverseT4TPlayer: 505.39993 points.

Tournament 16
BestPlayer: 851.157 points.
CombinedPlayer: 850.0418 points.
GradualPlayer: 850.0053 points.
GrimTriggerPlayer: 839.4942 points.
SinghAishwaryaPlayer: 839.35895 points.
T4TPlayer: 836.7921 points.
TolerantPlayer: 836.57086 points.
FirmButFairPlayer: 833.8917 points.
TitForTatPlayer2: 815.37256 points.
ImprovedPlayer: 811.9924 points.
NicePlayer: 771.58105 points.
SoftGrudgerPlayer: 757.64886 points.
FreakyPlayer: 683.9608 points.
HardMajorityPlayer: 617.51654 points.
NastyPlayer: 615.61346 points.
RandomPlayer: 574.64166 points.
ReverseT4TPlayer: 534.4393 points.

Tournament 17
GrimTriggerPlayer: 855.2535 points.
BestPlayer: 848.9292 points.
GradualPlayer: 845.61426 points.
CombinedPlayer: 842.5748 points.
SinghAishwaryaPlayer: 841.98645 points.
FirmButFairPlayer: 839.4446 points.
TolerantPlayer: 834.553 points.
T4TPlayer: 829.8751 points.
ImprovedPlayer: 821.2641 points.
TitForTatPlayer2: 816.0019 points.
SoftGrudgerPlayer: 765.71136 points.
NicePlayer: 762.5633 points.
FreakyPlayer: 681.1757 points.
NastyPlayer: 617.82056 points.
HardMajorityPlayer: 605.58435 points.
RandomPlayer: 587.49115 points.
ReverseT4TPlayer: 539.1602 points.

Tournament 18
BestPlayer: 857.28345 points.
FirmButFairPlayer: 849.00195 points.
GrimTriggerPlayer: 841.6586 points.
GradualPlayer: 836.91455 points.
CombinedPlayer: 836.7357 points.
TolerantPlayer: 836.6878 points.
T4TPlayer: 836.06055 points.
SinghAishwaryaPlayer: 836.0201 points.
TitForTatPlayer2: 815.9023 points.
ImprovedPlayer: 814.2782 points.
NicePlayer: 769.9152 points.
SoftGrudgerPlayer: 750.6704 points.
FreakyPlayer: 668.4888 points.
HardMajorityPlayer: 631.5661 points.
NastyPlayer: 625.29755 points.
RandomPlayer: 566.6133 points.
ReverseT4TPlayer: 517.0441 points.

Tournament 19
BestPlayer: 862.4093 points.
GrimTriggerPlayer: 858.9745 points.
CombinedPlayer: 845.3633 points.
FirmButFairPlayer: 841.8277 points.
GradualPlayer: 834.737 points.
SinghAishwaryaPlayer: 834.0981 points.
TolerantPlayer: 832.8175 points.
T4TPlayer: 831.9068 points.
ImprovedPlayer: 824.3674 points.
TitForTatPlayer2: 817.87396 points.
NicePlayer: 778.86896 points.
SoftGrudgerPlayer: 761.3363 points.
FreakyPlayer: 685.1605 points.
HardMajorityPlayer: 624.5539 points.
NastyPlayer: 621.0779 points.
RandomPlayer: 609.73816 points.
ReverseT4TPlayer: 511.51144 points.

Tournament 20
BestPlayer: 864.80615 points.
GrimTriggerPlayer: 849.93994 points.
FirmButFairPlayer: 848.81964 points.
TolerantPlayer: 846.3051 points.
GradualPlayer: 839.78656 points.
SinghAishwaryaPlayer: 838.9142 points.
CombinedPlayer: 834.0044 points.
ImprovedPlayer: 826.3324 points.
TitForTatPlayer2: 818.5717 points.
T4TPlayer: 809.63306 points.
SoftGrudgerPlayer: 757.05273 points.
NicePlayer: 742.07446 points.
FreakyPlayer: 677.5349 points.
NastyPlayer: 623.23334 points.
HardMajorityPlayer: 607.2443 points.
RandomPlayer: 582.9763 points.
ReverseT4TPlayer: 527.7758 points.

Tournament 21
BestPlayer: 855.5076 points.
CombinedPlayer: 844.58014 points.
GrimTriggerPlayer: 844.54095 points.
SinghAishwaryaPlayer: 844.24164 points.
GradualPlayer: 842.1874 points.
FirmButFairPlayer: 838.23883 points.
TolerantPlayer: 838.1464 points.
ImprovedPlayer: 828.8975 points.
T4TPlayer: 828.0825 points.
TitForTatPlayer2: 809.75714 points.
NicePlayer: 756.72516 points.
SoftGrudgerPlayer: 753.09216 points.
FreakyPlayer: 697.5766 points.
NastyPlayer: 616.2476 points.
HardMajorityPlayer: 612.52966 points.
RandomPlayer: 553.2772 points.
ReverseT4TPlayer: 522.43646 points.

Tournament 22
TolerantPlayer: 853.11786 points.
CombinedPlayer: 845.424 points.
GradualPlayer: 842.12854 points.
FirmButFairPlayer: 837.0139 points.
BestPlayer: 836.4657 points.
SinghAishwaryaPlayer: 835.5544 points.
ImprovedPlayer: 833.7443 points.
